from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,model_path,best_valid_exact_match
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,0.0
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,24.256999969482422
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,22.387300491333008
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,23.394100189208984
t5-base,,modeling_rmt_enc_dec_double_question:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/quality/t5-base/lr1e-04_linear_adamw_wd1e-03_998-1024_mem10/run_1,26.03070068359375
