from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,model_path,f1,best_valid_f1,precision,best_valid_precision,recall,best_valid_recall,accuracy,best_valid_accuracy,f1,best_valid_f1,precision,best_valid_precision,recall,best_valid_recall,accuracy,best_valid_accuracy
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,linear,1002,,10.0,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_1002_mem10/run_2,0.9433962106704712,0.8301886916160583,0.9615384340286255,0.8399999737739563,0.9259259104728699,0.8461538553237915,0.9558823704719543,0.859375,0.9433962106704712,0.8301886916160583,0.9615384340286255,0.8399999737739563,0.9259259104728699,0.8461538553237915,0.9558823704719543,0.859375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,linear,1002,,10.0,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_1002_mem10/run_1,0.9629629850387573,0.8333333134651184,0.9629629850387573,0.9090909361839294,0.9629629850387573,0.7692307829856873,0.970588207244873,0.875,0.9629629850387573,0.8333333134651184,0.9629629850387573,0.9090909361839294,0.9629629850387573,0.7692307829856873,0.970588207244873,0.875
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,2,constant_with_warmup,918,,50.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_918_mem50/run_1,0.9433962106704712,0.800000011920929,0.9615384340286255,0.8333333134651184,0.9259259104728699,0.8461538553237915,0.9545454382896423,0.84375,0.9433962106704712,0.800000011920929,0.9615384340286255,0.8333333134651184,0.9259259104728699,0.8461538553237915,0.9545454382896423,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,constant_with_warmup,1497,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10/run_2,0.9230769276618958,0.75,0.9599999785423279,0.8421052694320679,0.8888888955116272,0.692307710647583,0.9411764740943909,0.8125,0.9230769276618958,0.75,0.9599999785423279,0.8421052694320679,0.8888888955116272,0.692307710647583,0.9411764740943909,0.8125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,2,constant_with_warmup,1497,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10/run_1,0.9230769276618958,0.807692289352417,0.9599999785423279,0.807692289352417,0.8888888955116272,0.807692289352417,0.939393937587738,0.84375,0.9230769276618958,0.807692289352417,0.9599999785423279,0.807692289352417,0.8888888955116272,0.807692289352417,0.939393937587738,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,2,linear,1377,,50.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_1377_mem50/run_1,0.8571428656578064,0.807692289352417,0.9545454382896423,0.8260869383811951,0.7777777910232544,0.807692289352417,0.8939393758773804,0.84375,0.8571428656578064,0.807692289352417,0.9545454382896423,0.8260869383811951,0.7777777910232544,0.807692289352417,0.8939393758773804,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,2,linear,822,,100.0,../runs/finetune//t5-base/lr1e-04_linear_adamw_wd1e-03_822_mem100/run_3,0.9433962106704712,0.8518518805503845,0.9615384340286255,0.8695651888847351,0.9259259104728699,0.8846153616905212,0.9545454382896423,0.875,0.9433962106704712,0.8518518805503845,0.9615384340286255,0.8695651888847351,0.9259259104728699,0.8846153616905212,0.9545454382896423,0.875
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,2,linear,822,,100.0,../runs/finetune//t5-base/lr1e-04_linear_adamw_wd1e-03_822_mem100/run_2,0.9433962106704712,0.800000011920929,0.9615384340286255,0.7916666865348816,0.9259259104728699,0.8461538553237915,0.9545454382896423,0.828125,0.9433962106704712,0.800000011920929,0.9615384340286255,0.7916666865348816,0.9259259104728699,0.8461538553237915,0.9545454382896423,0.828125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,2,linear,822,,100.0,../runs/finetune//t5-base/lr1e-04_linear_adamw_wd1e-03_822_mem100/run_1,0.9056603908538818,0.7599999904632568,0.9230769276618958,0.7916666865348816,0.8888888955116272,0.7692307829856873,0.9242424368858337,0.8125,0.9056603908538818,0.7599999904632568,0.9230769276618958,0.7916666865348816,0.8888888955116272,0.7692307829856873,0.9242424368858337,0.8125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,2,linear,822,,100.0,../runs/finetune//t5-base/lr1e-04_linear_adamw_wd1e-03_822_mem100/run_1,,0.0,,0.0,,0.0,,0.59375,,0.0,,0.0,,0.0,,0.59375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,2,constant_with_warmup,998,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_2,0.9433962106704712,0.7916666865348816,0.9615384340286255,0.8636363744735718,0.9259259104728699,0.7692307829856873,0.9545454382896423,0.84375,0.9433962106704712,0.7916666865348816,0.9615384340286255,0.8636363744735718,0.9259259104728699,0.7692307829856873,0.9545454382896423,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,2,constant_with_warmup,998,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_2,0.9433962106704712,0.8571428656578064,0.9615384340286255,0.9130434989929199,0.9259259104728699,0.807692289352417,0.9558823704719543,0.890625,0.9433962106704712,0.8571428656578064,0.9615384340286255,0.9130434989929199,0.9259259104728699,0.807692289352417,0.9558823704719543,0.890625
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,2,constant_with_warmup,998,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,0.9230769276618958,0.800000011920929,0.9599999785423279,0.8999999761581421,0.8888888955116272,0.807692289352417,0.939393937587738,0.84375,0.9230769276618958,0.800000011920929,0.9599999785423279,0.8999999761581421,0.8888888955116272,0.807692289352417,0.939393937587738,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,2,linear,918,,50.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_918_mem50/run_1,0.8679245114326477,0.800000011920929,0.8846153616905212,0.8947368264198303,0.8518518805503845,0.8461538553237915,0.8939393758773804,0.828125,0.8679245114326477,0.800000011920929,0.8846153616905212,0.8947368264198303,0.8518518805503845,0.8461538553237915,0.8939393758773804,0.828125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,4,linear,1497,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_linear_adamw_wd1e-03_1497_mem10/run_2,,0.7755101919174194,,1.0,,0.7692307829856873,,0.828125,,0.7755101919174194,,1.0,,0.7692307829856873,,0.828125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,2,linear,1497,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_linear_adamw_wd1e-03_1497_mem10/run_1,0.9615384340286255,0.8148148059844971,1.0,0.8333333134651184,0.9259259104728699,0.8461538553237915,0.9696969985961914,0.84375,0.9615384340286255,0.8148148059844971,1.0,0.8333333134651184,0.9259259104728699,0.8461538553237915,0.9696969985961914,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,linear,1503,,10.0,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_1503_mem10/run_2,0.9230769276618958,0.807692289352417,0.9599999785423279,1.0,0.8888888955116272,0.807692289352417,0.9411764740943909,0.84375,0.9230769276618958,0.807692289352417,0.9599999785423279,1.0,0.8888888955116272,0.807692289352417,0.9411764740943909,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,linear,1503,,10.0,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_1503_mem10/run_1,0.9200000166893005,0.7692307829856873,1.0,0.7692307829856873,0.8518518805503845,0.807692289352417,0.9411764740943909,0.8125,0.9200000166893005,0.7692307829856873,1.0,0.7692307829856873,0.8518518805503845,0.807692289352417,0.9411764740943909,0.8125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,2,linear,918,,50.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_linear_adamw_wd1e-03_918_mem50/run_1,0.9433962106704712,0.7843137383460999,0.9615384340286255,0.800000011920929,0.9259259104728699,0.807692289352417,0.9545454382896423,0.828125,0.9433962106704712,0.7843137383460999,0.9615384340286255,0.800000011920929,0.9259259104728699,0.807692289352417,0.9545454382896423,0.828125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,1e-05,1,2,constant_with_warmup,1497,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10/run_2,0.7692307829856873,0.7547169923782349,0.800000011920929,0.7407407164573669,0.7407407164573669,0.7692307829856873,0.8235294222831726,0.796875,0.7692307829856873,0.7547169923782349,0.800000011920929,0.7407407164573669,0.7407407164573669,0.7692307829856873,0.8235294222831726,0.796875
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,1e-05,1,2,constant_with_warmup,1497,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10/run_2,0.7346938848495483,0.6792452931404114,0.8181818127632141,0.6666666865348816,0.6666666865348816,0.692307710647583,0.8030303120613098,0.734375,0.7346938848495483,0.6792452931404114,0.8181818127632141,0.6666666865348816,0.6666666865348816,0.692307710647583,0.8030303120613098,0.734375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,1e-05,1,2,constant_with_warmup,1497,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10/run_1,0.6666666865348816,0.7058823704719543,0.761904776096344,0.739130437374115,0.5925925970077515,0.692307710647583,0.7575757503509521,0.765625,0.6666666865348816,0.7058823704719543,0.761904776096344,0.739130437374115,0.5925925970077515,0.692307710647583,0.7575757503509521,0.765625
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,2,constant_with_warmup,1377,,50.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_1377_mem50/run_1,0.9433962106704712,0.8679245114326477,0.9615384340286255,0.8518518805503845,0.9259259104728699,0.8846153616905212,0.9545454382896423,0.890625,0.9433962106704712,0.8679245114326477,0.9615384340286255,0.8518518805503845,0.9259259104728699,0.8846153616905212,0.9545454382896423,0.890625
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,2,constant_with_warmup,998,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_998_mem10/run_2,0.9259259104728699,0.7659574747085571,0.9259259104728699,0.8571428656578064,0.9259259104728699,0.7692307829856873,0.9411764740943909,0.828125,0.9259259104728699,0.7659574747085571,0.9259259104728699,0.8571428656578064,0.9259259104728699,0.7692307829856873,0.9411764740943909,0.828125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,2,constant_with_warmup,998,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_998_mem10/run_2,0.9433962106704712,0.8163265585899353,0.9615384340286255,0.8695651888847351,0.9259259104728699,0.7692307829856873,0.9545454382896423,0.859375,0.9433962106704712,0.8163265585899353,0.9615384340286255,0.8695651888847351,0.9259259104728699,0.7692307829856873,0.9545454382896423,0.859375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,2,constant_with_warmup,998,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,0.9259259104728699,0.8571428656578064,0.9259259104728699,0.9523809552192688,0.9259259104728699,0.8461538553237915,0.939393937587738,0.890625,0.9259259104728699,0.8571428656578064,0.9259259104728699,0.9523809552192688,0.9259259104728699,0.8461538553237915,0.939393937587738,0.890625
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,1e-05,1,2,constant_with_warmup,998,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_2,0.8301886916160583,0.7777777910232544,0.8461538553237915,0.75,0.8148148059844971,0.8461538553237915,0.8636363744735718,0.8125,0.8301886916160583,0.7777777910232544,0.8461538553237915,0.75,0.8148148059844971,0.8461538553237915,0.8636363744735718,0.8125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,1e-05,1,2,constant_with_warmup,998,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_2,0.8301886916160583,0.7547169923782349,0.8461538553237915,0.7599999904632568,0.8148148059844971,0.7692307829856873,0.8676470518112183,0.796875,0.8301886916160583,0.7547169923782349,0.8461538553237915,0.7599999904632568,0.8148148059844971,0.7692307829856873,0.8676470518112183,0.796875
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,1e-05,1,2,constant_with_warmup,998,,10.0,../../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,0.800000011920929,0.6938775777816772,0.8695651888847351,0.739130437374115,0.7407407164573669,0.6538461446762085,0.8484848737716675,0.765625,0.800000011920929,0.6938775777816772,0.8695651888847351,0.739130437374115,0.7407407164573669,0.6538461446762085,0.8484848737716675,0.765625
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,4,constant_with_warmup,1002,,10.0,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_2,0.9056603908538818,0.8163265585899353,0.9230769276618958,0.9047619104385376,0.8888888955116272,0.7692307829856873,0.9264705777168274,0.859375,0.9056603908538818,0.8163265585899353,0.9230769276618958,0.9047619104385376,0.8888888955116272,0.7692307829856873,0.9264705777168274,0.859375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,4,constant_with_warmup,1002,,10.0,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_1,0.9230769276618958,0.7777777910232544,0.9599999785423279,0.8571428656578064,0.8888888955116272,0.807692289352417,0.9411764740943909,0.828125,0.9230769276618958,0.7777777910232544,0.9599999785423279,0.8571428656578064,0.8888888955116272,0.807692289352417,0.9411764740943909,0.828125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,2,linear,2004,,10.0,../runs/finetune/hyperpartisan_news_detection/t5-base/lr1e-04_linear_adamw_wd1e-03_2004_mem10/run_1,0.9433962106704712,0.8627451062202454,0.9615384340286255,0.8799999952316284,0.9259259104728699,0.8461538553237915,0.9545454382896423,0.890625,0.9433962106704712,0.8627451062202454,0.9615384340286255,0.8799999952316284,0.9259259104728699,0.8461538553237915,0.9545454382896423,0.890625
