from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,model_path,best_valid_exact_match
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,998,,10,../runs/finetune/gridsearch/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_998_mem10/run_2,55.09619903564453
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,998,,10,../runs/finetune/gridsearch/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,72.88459777832031
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1497,,10,../runs/finetune/gridsearch/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1497_mem10/run_2,68.17310333251953
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1497,,10,../runs/finetune/gridsearch/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1497_mem10/run_1,56.923099517822266
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1377,,50,../runs/finetune/gridsearch/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1377_mem50/run_1,57.40380096435547
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,linear,972,,25,../runs/finetune/gridsearch/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_972_mem25/run_1,68.65380096435547
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,linear,1377,,50,../runs/finetune/gridsearch/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1377_mem50/run_1,55.96149826049805
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,linear,998,,10,../runs/finetune/gridsearch/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_998_mem10/run_1,72.98079681396484
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,972,,25,../runs/finetune/gridsearch/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_972_mem25/run_1,74.03849792480469
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,linear,1497,,10,../runs/finetune/gridsearch/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1497_mem10/run_2,56.63460159301758
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,linear,1497,,10,../runs/finetune/gridsearch/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1497_mem10/run_1,56.34619903564453
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,5e-05,1,4,constant_with_warmup,918,,50,../runs/finetune/gridsearch/contract_nli/microsoft/deberta-v3-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_918_mem50/run_2,58.46154022216797
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,5e-05,1,4,constant_with_warmup,1497,,10,../runs/finetune/gridsearch/contract_nli/microsoft/deberta-v3-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10/run_2,55.769229888916016
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,5e-05,1,4,linear,1377,,50,../runs/finetune/gridsearch/contract_nli/microsoft/deberta-v3-base/lr5e-05_linear_adamw_wd1e-03_1377_mem50/run_2,55.480770111083984
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,5e-05,1,4,constant_with_warmup,998,,10,../runs/finetune/gridsearch/contract_nli/microsoft/deberta-v3-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_3,58.46154022216797
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,5e-05,1,4,constant_with_warmup,998,,10,../runs/finetune/gridsearch/contract_nli/microsoft/deberta-v3-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_2,59.903846740722656
