from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,model_path,f1,best_valid_f1,precision,best_valid_precision,recall,best_valid_recall,accuracy,best_valid_accuracy
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,constant_with_warmup,2004,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_2004_mem10/run_1,0.9433962106704712,0.7916666865348816,0.9615384340286255,0.8636363744735718,0.9259259104728699,0.8846153616905212,0.9545454382896423,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,constant_with_warmup,2004,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_2004_mem10/run_2,0.9629629850387573,0.800000011920929,0.9629629850387573,0.8636363744735718,0.9629629850387573,0.8461538553237915,0.9696969985961914,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,2004,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_2004_mem10/run_2,0.8571428656578064,0.8148148059844971,0.9545454382896423,0.807692289352417,0.7777777910232544,0.8461538553237915,0.8939393758773804,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,2004,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_2004_mem10/run_1,0.8979591727256775,0.7931034564971924,1.0,0.7333333492279053,0.8148148059844971,0.8846153616905212,0.9242424368858337,0.8125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,constant_with_warmup,2004,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_2004_mem10/run_2,0.9811320900917053,0.8148148059844971,1.0,0.7857142686843872,0.9629629850387573,0.8461538553237915,0.9848484992980957,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,constant_with_warmup,2004,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_2004_mem10/run_1,0.9629629850387573,0.8301886916160583,0.9629629850387573,0.8148148059844971,0.9629629850387573,0.8461538553237915,0.9696969985961914,0.859375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,4,2,linear,2004,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/t5-base/lr1e-04_linear_adamw_wd1e-03_2004_mem10/run_2,0.9811320900917053,0.7924528121948242,1.0,0.782608687877655,0.9629629850387573,0.8846153616905212,0.9848484992980957,0.828125
facebook/bart-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,1002,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/facebook/bart-base/lr5e-05_linear_adamw_wd1e-03_1002_mem10/run_1,0.9230769276618958,0.8181818127632141,0.9599999785423279,1.0,0.8888888955116272,0.7307692170143127,0.939393937587738,0.875
facebook/bart-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,1002,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/facebook/bart-base/lr5e-05_linear_adamw_wd1e-03_1002_mem10/run_2,0.9019607901573181,0.7659574747085571,0.9583333134651184,0.9411764740943909,0.8518518805503845,0.692307710647583,0.9242424368858337,0.828125
facebook/bart-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,constant_with_warmup,1002,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/facebook/bart-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_1,0.9230769276618958,0.8085106611251831,0.9599999785423279,1.0,0.8888888955116272,0.807692289352417,0.939393937587738,0.859375
facebook/bart-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,constant_with_warmup,1002,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/facebook/bart-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_2,0.9230769276618958,0.8510638475418091,0.9599999785423279,1.0,0.8888888955116272,0.807692289352417,0.939393937587738,0.890625
facebook/bart-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,1002,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/facebook/bart-base/lr1e-04_linear_adamw_wd1e-03_1002_mem10/run_1,0.9411764740943909,0.8444444537162781,1.0,1.0,0.8888888955116272,0.807692289352417,0.9545454382896423,0.890625
facebook/bart-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,linear,1002,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/facebook/bart-base/lr1e-04_linear_adamw_wd1e-03_1002_mem10/run_2,0.9411764740943909,0.8510638475418091,1.0,0.9523809552192688,0.8888888955116272,0.9230769276618958,0.9545454382896423,0.890625
facebook/bart-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,constant_with_warmup,1002,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/facebook/bart-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_1,0.9411764740943909,0.8461538553237915,1.0,1.0,0.8888888955116272,0.8461538553237915,0.9545454382896423,0.875
facebook/bart-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,8,2,constant_with_warmup,1002,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/facebook/bart-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_2,0.8846153616905212,0.8163265585899353,0.9200000166893005,0.9411764740943909,0.8518518805503845,0.9230769276618958,0.9090909361839294,0.859375
facebook/bart-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,1503,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/facebook/bart-base/lr5e-05_linear_adamw_wd1e-03_1503_mem10/run_1,0.8979591727256775,0.7857142686843872,1.0,0.8999999761581421,0.8148148059844971,0.8461538553237915,0.9242424368858337,0.8125
facebook/bart-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,1503,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/facebook/bart-base/lr5e-05_linear_adamw_wd1e-03_1503_mem10/run_2,0.9200000166893005,0.7272727489471436,1.0,1.0,0.8518518805503845,0.7692307829856873,0.939393937587738,0.796875
