task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,segment_ordering,padding_side,model_path,sum_loss,inter_layer_memory,num_steps,best_valid_exact_match
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1002,,10.0,repeat_first,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1002_mem10_sum_loss_rep_first/run_2,True,False,3000,72.5
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1002,,10.0,repeat_first,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1002_mem10_sum_loss_rep_first/run_1,True,False,3000,74.61540222167969
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1503,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1503_mem10/run_2,True,,3000,73.36540222167969
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1503,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1503_mem10/run_1,True,,3000,58.173099517822266
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,2,linear,972,,25.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_linear_adamw_wd1e-03_972_mem25/run_3,False,,3000,71.77259826660156
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,2,linear,972,,25.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_linear_adamw_wd1e-03_972_mem25/run_2,True,,3000,72.54340362548828
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,2,linear,972,,25.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_linear_adamw_wd1e-03_972_mem25/run_2,True,,3000,68.75
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,2,linear,972,,25.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_linear_adamw_wd1e-03_972_mem25/run_1,True,,3000,69.23079681396484
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,2,linear,972,,25.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_linear_adamw_wd1e-03_972_mem25/run_1,True,,3000,69.84590148925781
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,2,linear,972,,25.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_linear_adamw_wd1e-03_972_mem25/run_4,False,,3000,70.03849792480469
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,2,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_3,False,,3000,66.28130340576172
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_2,True,,1250,69.42310333251953
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_2,True,,3000,73.07689666748047
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_1,True,,3000,73.65380096435547
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_1,True,,3000,73.17310333251953
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_1,True,,3000,73.84619903564453
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,2,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_4,False,,3000,71.58000183105469
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.002,1,4,constant_with_warmup,1503,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr2e-03_constant_with_warmup_adamw_wd1e-03_1503_mem10/run_2,True,,3000,58.173099517822266
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.002,1,4,constant_with_warmup,1503,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr2e-03_constant_with_warmup_adamw_wd1e-03_1503_mem10/run_1,True,,3000,72.40380096435547
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,linear,2004,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_2004_mem10/run_2,True,,3000,56.15380096435547
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,linear,2004,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_2004_mem10/run_1,True,,3000,55.576900482177734
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,2,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_3,False,,3000,71.1946029663086
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,2,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_2,True,,3000,74.56649780273438
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,2,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_1,True,,3000,73.17310333251953
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,2,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_1,True,,3000,73.31410217285156
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,2,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_constant_with_warmup_adamw_wd1e-03_1002_mem10/run_4,False,,3000,72.4469985961914
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,4,linear,2004,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_linear_adamw_wd1e-03_2004_mem10/run_2,True,,3000,57.01919937133789
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,1,4,linear,2004,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr5e-04_linear_adamw_wd1e-03_2004_mem10/run_1,True,,3000,56.057701110839844
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.002,1,4,linear,1503,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr2e-03_linear_adamw_wd1e-03_1503_mem10/run_2,True,,3000,71.05770111083984
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.002,1,4,linear,1503,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr2e-03_linear_adamw_wd1e-03_1503_mem10/run_1,True,,3000,60.38460159301758
contract_nli,t5-base,,modeling_rmt_enc_dec_reversed:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,1002,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_1002_mem10_sum_loss_reversed/run_3,True,,750,40.673099517822266
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,2004,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_2004_mem10/run_2,True,,3000,70.67310333251953
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,1,4,constant_with_warmup,2004,,10.0,,,../runs/finetune/debug/contract_nli/t5-base/lr1e-03_constant_with_warmup_adamw_wd1e-03_2004_mem10/run_1,True,,3000,69.61540222167969
